Дата	Документ	Организация	Субконто1 Дт	Субконто2 Дт	Субконто3 Дт	Количество Кт	Субконто1 Кт	Субконто2 Кт	Субконто3 Кт	Сумма	Содержание
12.01.2016 12:00:01	Реализация (акт, накладная, УПД) КП00-000001 от 12.01.2016 12:00:01	Продавец ООО	Прокупатель1 ООО	Основной договор	Реализация (акт, накладная, УПД) КП00-000001 от 12.01.2016 12:00:01	10,000	Основная номенклатурная группа	18%	Ассорти	4 500,00	Реализация товаров
12.01.2016 12:00:01	Реализация (акт, накладная, УПД) КП00-000001 от 12.01.2016 12:00:01	Продавец ООО	Прокупатель1 ООО	Основной договор	Реализация (акт, накладная, УПД) КП00-000001 от 12.01.2016 12:00:01	15,000	Основная номенклатурная группа	18%	Белочка	5 250,00	Реализация товаров
12.01.2016 12:00:01	Реализация (акт, накладная, УПД) КП00-000001 от 12.01.2016 12:00:01	Продавец ООО	Прокупатель1 ООО	Основной договор	Реализация (акт, накладная, УПД) КП00-000001 от 12.01.2016 12:00:01	5,000	Основная номенклатурная группа	18%	Грильяж	1 500,00	Реализация товаров
12.01.2016 12:00:01	Реализация (акт, накладная, УПД) КП00-000001 от 12.01.2016 12:00:01	Продавец ООО	Прокупатель1 ООО	Основной договор	Реализация (акт, накладная, УПД) КП00-000001 от 12.01.2016 12:00:01	10,000	Основная номенклатурная группа	18%	Мишка	3 500,00	Реализация товаров
13.01.2016 21:00:01	Реализация (акт, накладная, УПД) КП00-000002 от 13.01.2016 21:00:01	Продавец ООО	Прокупатель2 ООО	Основной договор	Реализация (акт, накладная, УПД) КП00-000002 от 13.01.2016 21:00:01	200,000	Основная номенклатурная группа	18%	Ассорти	90 000,00	Реализация товаров
13.01.2016 21:00:01	Реализация (акт, накладная, УПД) КП00-000002 от 13.01.2016 21:00:01	Продавец ООО	Прокупатель2 ООО	Основной договор	Реализация (акт, накладная, УПД) КП00-000002 от 13.01.2016 21:00:01	150,000	Основная номенклатурная группа	18%	Барбарис	30 000,00	Реализация товаров
13.01.2016 21:00:01	Реализация (акт, накладная, УПД) КП00-000002 от 13.01.2016 21:00:01	Продавец ООО	Прокупатель2 ООО	Основной договор	Реализация (акт, накладная, УПД) КП00-000002 от 13.01.2016 21:00:01	140,000	Основная номенклатурная группа	18%	Белочка	49 000,00	Реализация товаров
13.01.2016 21:00:01	Реализация (акт, накладная, УПД) КП00-000002 от 13.01.2016 21:00:01	Продавец ООО	Прокупатель2 ООО	Основной договор	Реализация (акт, накладная, УПД) КП00-000002 от 13.01.2016 21:00:01	35,000	Основная номенклатурная группа	18%	Вишня в коньяке	17 500,00	Реализация товаров
13.01.2016 21:00:01	Реализация (акт, накладная, УПД) КП00-000002 от 13.01.2016 21:00:01	Продавец ООО	Прокупатель2 ООО	Основной договор	Реализация (акт, накладная, УПД) КП00-000002 от 13.01.2016 21:00:01	100,000	Основная номенклатурная группа	18%	Грильяж	30 000,00	Реализация товаров
13.01.2016 21:00:01	Реализация (акт, накладная, УПД) КП00-000002 от 13.01.2016 21:00:01	Продавец ООО	Прокупатель2 ООО	Основной договор	Реализация (акт, накладная, УПД) КП00-000002 от 13.01.2016 21:00:01	130,000	Основная номенклатурная группа	18%	Мишка	45 500,00	Реализация товаров
13.01.2016 21:00:01	Реализация (акт, накладная, УПД) КП00-000002 от 13.01.2016 21:00:01	Продавец ООО	Прокупатель2 ООО	Основной договор	Реализация (акт, накладная, УПД) КП00-000002 от 13.01.2016 21:00:01	45,000	Основная номенклатурная группа	18%	Фруктовые	11 250,00	Реализация товаров
15.01.2016 10:32:54	Реализация (акт, накладная, УПД) КП00-000003 от 15.01.2016 10:32:54	Продавец ООО	Прокупатель3 ООО	Основной договор	Реализация (акт, накладная, УПД) КП00-000003 от 15.01.2016 10:32:54	5,000	Основная номенклатурная группа	18%	Ассорти	2 250,00	Реализация товаров
15.01.2016 10:32:54	Реализация (акт, накладная, УПД) КП00-000003 от 15.01.2016 10:32:54	Продавец ООО	Прокупатель3 ООО	Основной договор	Реализация (акт, накладная, УПД) КП00-000003 от 15.01.2016 10:32:54	10,000	Основная номенклатурная группа	18%	Барбарис	2 000,00	Реализация товаров
15.01.2016 10:32:54	Реализация (акт, накладная, УПД) КП00-000003 от 15.01.2016 10:32:54	Продавец ООО	Прокупатель3 ООО	Основной договор	Реализация (акт, накладная, УПД) КП00-000003 от 15.01.2016 10:32:54	5,000	Основная номенклатурная группа	18%	Белочка	1 750,00	Реализация товаров
15.01.2016 10:32:54	Реализация (акт, накладная, УПД) КП00-000003 от 15.01.2016 10:32:54	Продавец ООО	Прокупатель3 ООО	Основной договор	Реализация (акт, накладная, УПД) КП00-000003 от 15.01.2016 10:32:54	5,000	Основная номенклатурная группа	18%	Вишня в коньяке	2 500,00	Реализация товаров
15.01.2016 10:32:54	Реализация (акт, накладная, УПД) КП00-000003 от 15.01.2016 10:32:54	Продавец ООО	Прокупатель3 ООО	Основной договор	Реализация (акт, накладная, УПД) КП00-000003 от 15.01.2016 10:32:54	10,000	Основная номенклатурная группа	18%	Грильяж	3 000,00	Реализация товаров
15.01.2016 10:32:54	Реализация (акт, накладная, УПД) КП00-000003 от 15.01.2016 10:32:54	Продавец ООО	Прокупатель3 ООО	Основной договор	Реализация (акт, накладная, УПД) КП00-000003 от 15.01.2016 10:32:54	10,000	Основная номенклатурная группа	18%	Мишка	3 500,00	Реализация товаров
